RAM,CPU,Battery,Internal,Class,Range,Network_type
4,3.3,73,4,2,9,Bluetooth
6,1.3,70,64,1,32,MANET
4,2.3,57,64,1,99,MANET
8,2.0,80,16,2,141,DTN
6,1.1,30,16,2,109,DTN
1,1.4,77,16,2,96,MANET
8,1.3,73,32,1,107,DTN
3,2.2,97,8,2,149,DTN
4,2.2,97,64,1,69,MANET
4,3.0,67,32,1,18,MANET
8,3.3,8,8,4,73,MANET
8,1.6,98,32,1,135,DTN
2,3.4,24,32,1,62,MANET
2,3.5,97,32,1,104,DTN
3,1.4,71,8,2,13,MANET
1,1.6,56,32,1,129,DTN
6,1.7,24,4,2,135,DTN
6,1.9,49,4,2,74,MANET
8,1.4,92,4,2,26,MANET
1,3.1,44,8,2,130,DTN
6,1.3,74,32,1,122,DTN
4,1.5,50,4,2,130,DTN
2,1.9,99,16,2,132,DTN
3,1.9,52,8,2,78,MANET
1,1.7,12,64,3,129,DTN
2,2.1,85,4,2,32,MANET
4,1.3,93,4,2,64,MANET
1,1.5,60,32,1,3,Bluetooth
1,2.8,50,64,1,142,DTN
6,3.4,91,64,1,2,Bluetooth
2,2.9,59,32,1,34,MANET
3,3.4,99,8,2,1,Bluetooth
3,2.7,35,64,1,102,DTN
8,1.9,13,16,4,90,MANET
3,2.5,80,32,1,147,DTN
8,2.3,49,32,1,24,MANET
8,1.8,37,4,2,13,MANET
8,1.7,40,16,2,121,DTN
1,1.9,13,16,4,38,MANET
4,2.5,73,32,1,110,DTN
2,3.3,88,4,2,68,MANET
1,1.5,31,8,2,124,DTN
3,1.6,75,32,1,70,MANET
1,2.8,7,8,4,14,MANET
3,2.3,61,4,2,67,MANET
1,1.2,96,4,2,51,MANET
4,1.9,97,16,2,27,MANET
4,3.1,98,32,1,134,DTN
8,2.5,69,32,1,17,MANET
1,1.7,73,32,1,116,DTN
3,3.1,31,64,1,81,MANET
1,2.9,41,16,2,68,MANET
2,1.6,61,64,1,10,Bluetooth
6,3.4,36,4,2,112,DTN
8,2.6,59,32,1,82,MANET
8,3.2,25,64,1,37,MANET
3,3.1,98,4,2,63,MANET
3,1.5,61,8,2,30,MANET
1,1.5,42,8,2,8,Bluetooth
3,1.0,21,4,2,90,MANET
2,2.8,13,64,3,13,MANET
3,3.2,60,8,2,7,Bluetooth
6,2.2,47,16,2,95,MANET
2,1.7,5,16,4,59,MANET
3,3.2,42,64,1,68,MANET
4,2.0,89,16,2,134,DTN
1,2.9,96,4,2,95,MANET
8,1.3,9,64,3,70,MANET
1,2.1,30,16,2,129,DTN
8,1.8,46,32,1,131,DTN
6,2.0,66,16,2,9,Bluetooth
6,1.6,22,16,2,130,DTN
8,1.5,60,16,2,108,DTN
4,3.0,59,64,1,89,MANET
2,1.5,58,4,2,71,MANET
4,1.4,84,32,1,120,DTN
4,1.5,11,4,4,93,MANET
3,3.3,46,4,2,110,DTN
3,2.1,38,8,2,137,DTN
8,2.8,34,16,2,96,MANET
3,2.0,94,32,1,110,DTN
1,2.3,96,8,2,47,MANET
6,2.0,5,64,3,3,Bluetooth
2,3.0,78,16,2,85,MANET
8,1.1,22,32,1,18,MANET
3,2.5,99,4,2,57,MANET
4,2.4,27,16,2,132,DTN
4,1.9,47,64,1,66,MANET
8,1.1,56,4,2,101,DTN
4,1.2,46,64,1,124,DTN
3,2.9,45,32,1,80,MANET
2,3.2,35,16,2,11,MANET
6,3.4,50,8,2,68,MANET
4,2.2,84,4,2,99,MANET
4,1.2,21,4,2,31,MANET
2,3.1,13,32,3,25,MANET
1,2.5,52,16,2,44,MANET
8,2.5,97,8,2,70,MANET
3,2.6,10,16,4,5,Bluetooth
6,2.7,49,16,2,102,DTN
2,1.3,20,16,4,3,Bluetooth
3,1.9,43,32,1,146,DTN
4,1.1,37,4,2,30,MANET
3,2.8,86,32,1,86,MANET
6,2.7,58,4,2,10,Bluetooth
2,2.7,18,8,4,38,MANET
6,1.4,11,4,4,127,DTN
1,2.7,11,32,3,87,MANET
1,2.4,55,8,2,65,MANET
1,1.6,43,64,1,28,MANET
4,1.7,40,64,1,83,MANET
4,2.0,68,4,2,30,MANET
4,1.0,52,64,1,102,DTN
3,2.0,88,4,2,47,MANET
3,2.7,86,32,1,118,DTN
6,1.0,37,32,1,49,MANET
1,1.1,53,16,2,67,MANET
6,3.4,72,32,1,135,DTN
8,2.5,74,4,2,83,MANET
1,1.2,18,8,4,53,MANET
6,1.4,53,64,1,136,DTN
3,3.3,5,16,4,149,DTN
4,1.2,53,64,1,46,MANET
8,1.1,27,8,2,147,DTN
8,1.8,89,16,2,68,MANET
4,1.7,19,64,3,70,MANET
8,2.3,86,8,2,147,DTN
3,2.4,67,16,2,147,DTN
3,2.0,67,32,1,61,MANET
2,2.1,23,4,2,4,Bluetooth
4,2.8,95,32,1,28,MANET
6,1.2,8,4,4,110,DTN
1,2.5,36,4,2,115,DTN
3,1.5,61,8,2,135,DTN
2,1.5,17,4,4,33,MANET
2,1.9,26,16,2,120,DTN
4,1.6,93,16,2,70,MANET
2,3.5,55,32,1,80,MANET
3,3.0,27,8,2,116,DTN
3,2.4,78,16,2,88,MANET
6,3.1,39,16,2,13,MANET
6,1.8,20,16,4,84,MANET
6,3.1,50,4,2,136,DTN
3,3.0,24,16,2,88,MANET
6,3.4,85,4,2,69,MANET
4,2.4,34,32,1,120,DTN
2,3.1,41,4,2,8,Bluetooth
3,3.1,23,32,1,72,MANET
8,3.4,88,32,1,54,MANET
4,2.5,13,16,4,125,DTN
8,1.5,12,8,4,125,DTN
8,2.6,81,32,1,120,DTN
2,2.6,91,16,2,67,MANET
3,2.2,24,8,2,53,MANET
3,1.9,99,16,2,103,DTN
3,1.7,21,16,2,129,DTN
1,2.5,59,4,2,73,MANET
4,3.5,16,32,3,33,MANET
3,1.3,16,32,3,131,DTN
4,1.5,67,16,2,73,MANET
3,3.4,43,16,2,61,MANET
2,3.2,52,16,2,77,MANET
2,2.4,36,4,2,17,MANET
1,3.2,63,4,2,121,DTN
1,2.7,54,8,2,64,MANET
3,1.7,52,4,2,27,MANET
2,3.4,64,64,1,73,MANET
2,1.7,22,32,1,115,DTN
4,1.4,40,64,1,42,MANET
3,1.0,54,8,2,112,DTN
4,1.7,11,32,3,117,DTN
2,3.0,86,4,2,109,DTN
3,3.3,55,8,2,49,MANET
3,1.4,54,32,1,3,Bluetooth
6,3.2,65,16,2,88,MANET
3,2.7,47,64,1,65,MANET
3,2.7,35,64,1,39,MANET
3,2.0,86,64,1,104,DTN
3,2.6,17,4,4,44,MANET
8,2.0,66,64,1,80,MANET
3,2.1,21,4,2,117,DTN
4,2.1,18,64,3,9,Bluetooth
1,1.3,38,64,1,33,MANET
3,1.1,67,32,1,69,MANET
2,1.8,83,32,1,11,MANET
3,2.3,10,64,3,143,DTN
4,3.2,97,32,1,97,MANET
2,2.9,57,64,1,89,MANET
8,1.5,8,4,4,72,MANET
4,3.3,64,4,2,79,MANET
8,1.9,96,16,2,51,MANET
2,3.5,36,8,2,65,MANET
6,3.0,27,64,1,12,MANET
2,1.9,92,8,2,145,DTN
2,2.9,46,8,2,118,DTN
1,1.1,45,64,1,24,MANET
3,2.1,14,4,4,67,MANET
1,1.1,80,64,1,145,DTN
8,1.1,55,32,1,27,MANET
3,2.1,51,32,1,128,DTN
1,1.0,48,16,2,125,DTN
3,3.0,39,4,2,24,MANET
6,3.3,25,16,2,132,DTN
8,2.1,48,16,2,149,DTN
3,1.2,46,64,1,39,MANET
3,2.5,49,4,2,87,MANET
8,1.2,25,4,2,123,DTN
2,3.2,72,8,2,4,Bluetooth
1,2.3,68,32,1,108,DTN
4,3.3,47,4,2,148,DTN
1,2.8,54,8,2,144,DTN
2,2.1,14,8,4,117,DTN
1,1.5,85,4,2,4,Bluetooth
6,3.5,8,64,3,103,DTN
3,3.0,88,4,2,10,Bluetooth
3,3.5,25,32,1,29,MANET
1,3.3,51,4,2,45,MANET
8,1.1,93,32,1,41,MANET
2,1.1,19,4,4,66,MANET
8,1.5,16,8,4,17,MANET
1,2.9,96,8,2,132,DTN
2,3.2,8,32,3,34,MANET
2,1.7,11,16,4,75,MANET
8,2.1,6,16,4,42,MANET
6,1.4,23,8,2,74,MANET
4,1.5,54,64,1,87,MANET
1,2.0,58,64,1,95,MANET
3,2.2,40,16,2,62,MANET
8,2.0,85,4,2,2,Bluetooth
3,2.8,7,4,4,111,DTN
2,2.9,25,8,2,101,DTN
6,2.2,72,32,1,107,DTN
2,2.0,43,8,2,67,MANET
3,2.2,45,32,1,84,MANET
3,3.4,56,64,1,142,DTN
2,2.0,42,64,1,120,DTN
4,2.4,56,64,1,56,MANET
4,1.2,75,16,2,94,MANET
4,1.3,91,32,1,74,MANET
1,2.6,65,64,1,104,DTN
6,2.4,22,32,1,50,MANET
8,2.4,36,4,2,129,DTN
4,2.1,65,32,1,106,DTN
2,3.5,33,32,1,45,MANET
6,3.4,74,4,2,45,MANET
1,1.9,69,32,1,27,MANET
3,2.2,62,8,2,128,DTN
3,1.0,24,16,2,10,Bluetooth
2,3.4,36,8,2,142,DTN
3,1.6,48,64,1,51,MANET
4,3.4,15,32,3,29,MANET
3,2.8,36,4,2,118,DTN
4,1.8,61,32,1,148,DTN
6,1.3,53,64,1,41,MANET
1,3.3,86,4,2,138,DTN
3,1.9,27,8,2,15,MANET
4,2.0,56,8,2,77,MANET
3,3.3,23,16,2,31,MANET
8,1.7,26,64,1,100,MANET
3,2.7,41,4,2,120,DTN
8,2.9,35,4,2,143,DTN
1,3.4,21,16,2,22,MANET
2,1.8,83,16,2,72,MANET
6,3.2,41,4,2,14,MANET
3,3.4,47,32,1,83,MANET
8,2.5,20,32,3,88,MANET
6,1.9,29,16,2,81,MANET
6,2.8,58,4,2,3,Bluetooth
4,1.5,93,8,2,62,MANET
6,2.1,24,4,2,54,MANET
6,3.2,42,64,1,127,DTN
6,2.6,56,4,2,20,MANET
6,2.2,35,32,1,72,MANET
6,2.7,33,8,2,72,MANET
1,2.0,40,16,2,123,DTN
6,2.8,64,32,1,13,MANET
3,3.5,55,8,2,94,MANET
2,3.2,39,4,2,4,Bluetooth
6,2.2,44,8,2,94,MANET
4,3.3,32,4,2,1,Bluetooth
8,3.2,71,4,2,78,MANET
1,2.3,29,8,2,72,MANET
4,2.5,12,4,4,20,MANET
6,3.2,83,4,2,46,MANET
6,1.3,75,8,2,129,DTN
3,2.9,23,64,1,110,DTN
3,2.8,23,16,2,89,MANET
1,1.5,86,32,1,137,DTN
3,2.4,44,32,1,38,MANET
2,3.4,21,8,2,145,DTN
1,1.8,78,64,1,49,MANET
1,1.7,96,16,2,67,MANET
8,1.9,77,8,2,143,DTN
3,3.3,21,16,2,2,Bluetooth
4,1.4,35,8,2,85,MANET
2,2.0,26,32,1,76,MANET
8,2.3,54,64,1,111,DTN
6,2.2,84,16,2,65,MANET
3,2.3,21,32,1,121,DTN
8,3.4,18,32,3,19,MANET
2,1.4,35,16,2,70,MANET
6,2.3,94,32,1,5,Bluetooth
6,1.6,87,16,2,82,MANET
1,2.8,5,8,4,78,MANET
6,1.1,69,8,2,104,DTN
8,3.0,95,8,2,36,MANET
2,1.1,92,32,1,131,DTN
1,3.1,62,64,1,137,DTN
3,2.3,20,32,3,5,Bluetooth
3,2.6,75,16,2,51,MANET
4,3.4,82,8,2,105,DTN
3,1.5,28,8,2,144,DTN
3,3.2,99,4,2,80,MANET
1,1.9,97,32,1,148,DTN
3,1.7,48,32,1,15,MANET
3,3.3,53,32,1,59,MANET
4,1.7,85,32,1,81,MANET
2,2.5,98,4,2,78,MANET
6,1.3,33,64,1,5,Bluetooth
6,3.0,95,16,2,1,Bluetooth
6,2.1,35,8,2,95,MANET
4,1.8,67,16,2,1,Bluetooth
8,2.5,88,16,2,98,MANET
4,2.2,27,16,2,119,DTN
8,2.5,89,32,1,45,MANET
6,1.6,71,8,2,117,DTN
2,1.8,67,32,1,133,DTN
3,3.1,30,8,2,3,Bluetooth
8,1.2,73,64,1,132,DTN
6,2.6,85,64,1,26,MANET
2,2.0,74,4,2,100,MANET
6,3.0,33,8,2,100,MANET
8,3.0,53,16,2,144,DTN
6,2.2,16,64,3,110,DTN
4,1.7,35,64,1,6,Bluetooth
8,1.1,10,8,4,18,MANET
2,2.9,91,8,2,65,MANET
1,1.4,53,16,2,24,MANET
1,2.1,78,64,1,131,DTN
1,1.5,80,16,2,52,MANET
8,3.4,45,32,1,139,DTN
6,1.3,47,64,1,91,MANET
6,3.0,6,16,4,22,MANET
4,1.9,76,4,2,71,MANET
2,1.0,61,64,1,109,DTN
6,3.4,48,16,2,28,MANET
1,2.2,52,8,2,16,MANET
8,2.5,28,64,1,149,DTN
2,1.7,78,8,2,117,DTN
2,1.8,95,4,2,49,MANET
4,3.4,23,32,1,19,MANET
8,1.7,6,64,3,56,MANET
8,2.6,27,4,2,107,DTN
2,2.8,77,16,2,73,MANET
6,3.4,29,4,2,125,DTN
4,2.1,82,32,1,74,MANET
8,1.7,80,32,1,46,MANET
1,3.0,82,64,1,70,MANET
6,2.8,24,8,2,110,DTN
2,3.4,25,4,2,121,DTN
8,2.7,40,64,1,11,MANET
2,2.5,34,32,1,29,MANET
1,2.7,27,16,2,97,MANET
4,2.5,85,8,2,92,MANET
6,3.4,82,8,2,86,MANET
2,1.8,13,32,3,117,DTN
2,1.0,74,4,2,1,Bluetooth
4,1.0,28,16,2,133,DTN
1,2.5,35,32,1,54,MANET
3,3.0,61,32,1,38,MANET
1,3.3,38,8,2,114,DTN
2,1.4,81,16,2,114,DTN
2,1.6,66,16,2,80,MANET
8,2.3,17,16,4,3,Bluetooth
8,3.4,67,32,1,119,DTN
3,2.7,15,16,4,91,MANET
1,2.6,28,4,2,126,DTN
8,1.5,70,4,2,27,MANET
3,2.2,43,64,1,3,Bluetooth
2,1.8,29,32,1,95,MANET
8,1.9,73,4,2,134,DTN
8,1.3,90,32,1,66,MANET
1,1.5,98,4,2,100,MANET
2,2.2,33,8,2,32,MANET
2,2.1,55,4,2,29,MANET
6,1.4,6,8,4,141,DTN
8,1.3,30,32,1,25,MANET
4,1.9,72,64,1,97,MANET
1,3.0,46,16,2,120,DTN
4,2.4,73,32,1,52,MANET
8,2.7,76,8,2,81,MANET
8,1.9,24,16,2,74,MANET
4,1.7,89,64,1,98,MANET
1,2.1,59,16,2,105,DTN
2,2.6,60,32,1,123,DTN
1,2.1,79,16,2,27,MANET
8,1.7,16,8,4,28,MANET
3,1.8,22,64,1,120,DTN
8,1.9,23,8,2,54,MANET
6,2.2,65,64,1,73,MANET
1,1.6,9,8,4,8,Bluetooth
4,1.3,81,4,2,40,MANET
6,1.3,32,8,2,85,MANET
1,1.8,68,16,2,35,MANET
6,1.7,95,16,2,32,MANET
3,3.2,16,4,4,105,DTN
6,1.1,14,32,3,53,MANET
1,2.2,49,32,1,108,DTN
6,1.4,30,16,2,92,MANET
4,1.3,42,8,2,126,DTN
6,2.5,74,8,2,133,DTN
3,2.0,78,32,1,94,MANET
6,1.9,23,64,1,62,MANET
6,2.4,72,8,2,108,DTN
4,3.3,49,8,2,92,MANET
2,3.4,64,32,1,17,MANET
6,1.0,90,16,2,57,MANET
1,3.0,29,16,2,54,MANET
8,1.4,10,16,4,49,MANET
8,2.8,54,64,1,143,DTN
8,1.3,35,4,2,1,Bluetooth
8,1.9,98,16,2,20,MANET
6,2.5,56,4,2,120,DTN
4,2.7,97,16,2,54,MANET
8,3.0,16,64,3,130,DTN
1,3.4,36,16,2,127,DTN
4,3.5,13,8,4,64,MANET
2,3.3,64,4,2,45,MANET
6,2.0,24,32,1,36,MANET
3,1.6,80,8,2,95,MANET
8,3.1,70,64,1,97,MANET
6,1.7,25,4,2,78,MANET
3,2.4,83,16,2,63,MANET
2,2.4,38,16,2,146,DTN
6,2.3,20,4,4,35,MANET
8,1.1,69,32,1,106,DTN
1,2.2,85,16,2,12,MANET
8,2.6,74,64,1,77,MANET
2,1.8,26,32,1,139,DTN
1,1.8,60,16,2,43,MANET
6,1.6,63,64,1,25,MANET
8,3.0,81,16,2,77,MANET
1,2.4,35,64,1,39,MANET
3,1.1,14,4,4,85,MANET
3,1.1,74,8,2,126,DTN
4,2.8,21,8,2,35,MANET
3,1.6,7,64,3,95,MANET
4,1.6,13,4,4,111,DTN
4,1.6,77,32,1,32,MANET
2,2.6,72,32,1,123,DTN
1,1.5,19,64,3,71,MANET
4,2.8,98,32,1,100,MANET
2,2.3,35,16,2,63,MANET
3,2.3,91,4,2,77,MANET
6,2.1,61,4,2,22,MANET
6,1.4,54,4,2,53,MANET
4,3.3,20,64,3,81,MANET
6,2.5,70,4,2,23,MANET
6,2.2,84,16,2,21,MANET
6,1.0,52,32,1,96,MANET
8,1.6,31,16,2,72,MANET
2,1.9,30,64,1,3,Bluetooth
8,1.4,48,4,2,122,DTN
2,2.9,34,8,2,109,DTN
4,3.4,53,16,2,121,DTN
1,2.2,30,16,2,100,MANET
2,1.0,42,4,2,95,MANET
1,1.5,61,16,2,93,MANET
1,2.9,18,32,3,135,DTN
1,1.8,23,16,2,63,MANET
6,1.4,12,64,3,99,MANET
6,3.2,36,64,1,53,MANET
8,3.0,83,64,1,70,MANET
4,3.1,66,32,1,130,DTN
1,2.6,6,4,4,54,MANET
4,2.2,7,64,3,26,MANET
3,2.1,91,16,2,126,DTN
8,3.0,90,32,1,111,DTN
4,1.8,72,4,2,139,DTN
2,3.1,27,8,2,37,MANET
6,1.1,88,16,2,71,MANET
3,3.4,89,64,1,63,MANET
3,2.2,12,16,4,133,DTN
1,1.7,35,64,1,67,MANET
1,3.4,72,8,2,55,MANET
4,2.4,46,4,2,92,MANET
8,1.3,17,64,3,56,MANET
6,2.1,34,32,1,126,DTN
2,1.2,88,8,2,94,MANET
6,1.2,40,32,1,121,DTN
2,1.4,23,32,1,110,DTN
1,3.5,76,32,1,12,MANET
3,1.7,66,8,2,90,MANET
1,2.7,96,64,1,27,MANET
6,3.0,6,64,3,12,MANET
1,2.2,79,32,1,78,MANET
6,1.6,34,4,2,50,MANET
2,1.6,67,32,1,43,MANET
6,3.1,31,4,2,30,MANET
6,1.1,53,4,2,2,Bluetooth
8,2.1,53,32,1,148,DTN
2,3.3,92,32,1,116,DTN
1,1.8,22,32,1,25,MANET
8,2.9,23,32,1,70,MANET
6,1.4,98,4,2,140,DTN
6,1.6,47,4,2,37,MANET
1,3.1,67,16,2,100,MANET
4,2.9,33,4,2,19,MANET
4,3.0,84,4,2,119,DTN
4,2.9,28,16,2,122,DTN
3,1.7,40,64,1,64,MANET
8,2.4,73,32,1,7,Bluetooth
3,1.4,59,32,1,11,MANET
8,3.1,14,64,3,140,DTN
2,1.7,93,8,2,85,MANET
6,2.2,64,32,1,125,DTN
3,1.9,64,8,2,75,MANET
3,2.0,19,64,3,142,DTN
1,2.1,95,4,2,114,DTN
3,2.8,52,8,2,58,MANET
2,2.8,22,4,2,28,MANET
6,2.0,29,64,1,12,MANET
3,3.1,21,32,1,137,DTN
1,1.3,85,64,1,144,DTN
6,1.4,10,64,3,112,DTN
6,2.3,41,4,2,6,Bluetooth
8,2.5,83,4,2,119,DTN
3,2.3,70,16,2,60,MANET
6,1.7,39,32,1,126,DTN
2,3.3,87,16,2,83,MANET
4,1.8,57,32,1,81,MANET
4,1.2,65,64,1,22,MANET
1,2.5,18,64,3,131,DTN
2,1.7,67,32,1,120,DTN
8,2.1,25,8,2,128,DTN
1,2.6,68,32,1,50,MANET
8,2.3,22,4,2,45,MANET
6,3.3,59,4,2,143,DTN
2,2.2,78,8,2,48,MANET
4,2.8,92,64,1,8,Bluetooth
6,1.5,98,32,1,33,MANET
2,2.1,99,64,1,11,MANET
3,2.9,71,64,1,44,MANET
2,2.4,18,4,4,51,MANET
6,1.0,64,4,2,113,DTN
2,3.4,53,32,1,60,MANET
6,1.8,17,4,4,113,DTN
4,1.1,53,4,2,131,DTN
2,2.0,10,32,3,57,MANET
4,2.8,99,64,1,69,MANET
6,3.0,65,32,1,95,MANET
3,3.2,92,8,2,104,DTN
8,2.0,44,16,2,33,MANET
2,2.9,85,16,2,136,DTN
4,2.7,35,16,2,10,Bluetooth
8,2.2,88,32,1,42,MANET
1,2.4,29,32,1,113,DTN
1,1.6,16,4,4,135,DTN
8,2.7,18,8,4,49,MANET
1,2.1,64,64,1,36,MANET
2,1.5,28,64,1,6,Bluetooth
6,3.0,64,4,2,3,Bluetooth
6,3.3,70,16,2,125,DTN
1,1.2,49,64,1,18,MANET
2,3.0,59,4,2,3,Bluetooth
4,3.1,25,32,1,102,DTN
4,2.7,96,64,1,85,MANET
2,3.1,43,8,2,106,DTN
3,2.6,71,32,1,105,DTN
1,1.2,80,8,2,64,MANET
8,2.7,44,16,2,146,DTN
8,2.3,10,32,3,107,DTN
1,2.1,50,4,2,15,MANET
8,2.4,35,4,2,59,MANET
3,2.5,85,4,2,79,MANET
6,3.5,14,64,3,22,MANET
6,3.2,54,16,2,140,DTN
2,1.3,11,4,4,84,MANET
3,1.6,10,32,3,92,MANET
2,1.3,34,8,2,59,MANET
1,2.7,66,8,2,61,MANET
6,3.3,76,32,1,84,MANET
1,1.5,35,16,2,108,DTN
8,2.3,74,8,2,52,MANET
3,2.9,52,8,2,66,MANET
