RAM,CPU,Battery,Internal,Class,Range,Network_type
4,2.5,56,64,1,3,Bluetooth
8,1.1,94,32,1,23,MANET
3,1.2,75,64,1,116,DTN
4,2.8,80,32,1,14,MANET
4,1.4,29,32,1,89,MANET
8,1.5,8,4,4,115,DTN
6,1.0,12,64,3,31,MANET
4,1.8,12,4,4,83,MANET
2,2.0,59,64,1,13,MANET
3,2.5,43,64,1,1,Bluetooth
3,2.4,85,8,2,14,MANET
4,3.0,7,16,4,67,MANET
2,2.9,90,4,2,38,MANET
1,1.6,81,4,2,69,MANET
8,2.6,5,8,4,44,MANET
4,1.0,89,64,1,92,MANET
3,2.6,37,64,1,37,MANET
1,1.5,46,8,2,26,MANET
6,3.4,19,32,3,131,DTN
2,2.2,95,8,2,52,MANET
4,1.7,52,32,1,54,MANET
1,3.1,92,8,2,94,MANET
4,1.4,88,32,1,95,MANET
8,2.4,100,8,2,28,MANET
1,3.4,37,8,2,125,DTN
2,2.3,17,8,4,115,DTN
1,3.3,85,32,1,140,DTN
4,1.7,99,16,2,31,MANET
4,2.2,92,8,2,51,MANET
4,2.8,8,64,3,97,MANET
8,2.9,5,4,4,129,DTN
1,1.2,12,64,3,114,DTN
3,1.3,12,16,4,58,MANET
1,1.7,83,8,2,88,MANET
2,2.0,14,4,4,102,DTN
1,1.3,24,64,1,51,MANET
8,1.8,31,32,1,79,MANET
1,2.7,27,8,2,122,DTN
4,3.3,62,8,2,100,MANET
1,2.0,85,32,1,138,DTN
2,2.8,33,32,1,36,MANET
3,2.6,96,8,2,38,MANET
4,2.3,17,8,4,99,MANET
8,1.9,62,8,2,91,MANET
3,2.6,52,32,1,32,MANET
3,1.5,55,32,1,122,DTN
1,2.9,71,8,2,127,DTN
2,1.4,10,16,4,34,MANET
4,2.9,80,4,2,132,DTN
2,1.5,20,8,4,144,DTN
1,3.4,91,32,1,104,DTN
2,1.1,86,32,1,141,DTN
6,2.7,43,4,2,19,MANET
3,2.5,10,64,3,117,DTN
2,1.9,56,32,1,119,DTN
3,3.3,71,16,2,79,MANET
4,2.5,87,32,1,142,DTN
4,2.1,35,16,2,139,DTN
4,1.5,54,64,1,34,MANET
8,1.3,46,4,2,110,DTN
1,1.7,57,64,1,21,MANET
8,2.1,78,4,2,143,DTN
4,1.1,93,8,2,149,DTN
2,2.1,26,8,2,142,DTN
8,1.3,85,64,1,118,DTN
6,1.4,58,16,2,15,MANET
8,2.0,75,32,1,138,DTN
4,3.3,15,64,3,121,DTN
4,1.3,24,16,2,122,DTN
2,2.6,67,8,2,54,MANET
8,1.7,54,8,2,22,MANET
3,1.2,51,16,2,53,MANET
1,1.2,24,64,1,123,DTN
4,1.9,17,64,3,7,Bluetooth
3,2.6,59,64,1,59,MANET
2,1.8,69,4,2,94,MANET
8,2.1,95,64,1,108,DTN
2,3.3,5,8,4,78,MANET
3,1.7,80,4,2,70,MANET
3,3.0,46,32,1,29,MANET
8,3.4,32,16,2,79,MANET
8,3.4,92,16,2,91,MANET
8,2.1,13,8,4,116,DTN
3,2.4,55,4,2,132,DTN
1,3.1,67,64,1,136,DTN
6,2.8,50,8,2,41,MANET
3,2.9,23,4,2,17,MANET
2,2.6,63,8,2,131,DTN
4,2.7,20,4,4,7,Bluetooth
4,3.3,62,64,1,24,MANET
6,1.6,26,64,1,2,Bluetooth
1,3.2,92,32,1,40,MANET
1,2.4,33,4,2,122,DTN
4,2.4,9,32,3,107,DTN
8,2.6,8,64,3,133,DTN
8,1.4,71,32,1,50,MANET
3,2.9,10,16,4,124,DTN
2,2.2,31,4,2,87,MANET
8,3.2,38,32,1,12,MANET
3,1.6,80,32,1,16,MANET
3,2.3,68,32,1,131,DTN
1,1.6,78,32,1,17,MANET
2,2.6,10,64,3,21,MANET
1,3.0,91,64,1,87,MANET
3,2.4,43,32,1,36,MANET
8,2.4,92,16,2,71,MANET
8,3.4,96,32,1,116,DTN
1,1.4,19,16,4,66,MANET
3,2.7,75,8,2,44,MANET
8,2.8,23,8,2,73,MANET
4,3.1,23,16,2,102,DTN
2,2.3,19,8,4,12,MANET
4,2.4,98,4,2,26,MANET
4,2.0,72,16,2,58,MANET
8,1.2,40,4,2,70,MANET
1,3.5,38,4,2,7,Bluetooth
8,2.7,77,16,2,126,DTN
3,2.0,95,4,2,53,MANET
3,3.2,38,16,2,126,DTN
2,2.7,59,8,2,44,MANET
1,2.3,16,16,4,102,DTN
1,3.3,40,16,2,90,MANET
6,1.6,14,4,4,110,DTN
6,2.2,17,4,4,78,MANET
4,2.8,35,32,1,39,MANET
4,2.2,7,8,4,132,DTN
3,1.6,99,32,1,140,DTN
8,1.1,94,64,1,65,MANET
2,2.4,15,4,4,38,MANET
2,1.3,57,32,1,126,DTN
2,1.9,14,32,3,149,DTN
1,2.4,83,16,2,135,DTN
4,1.5,5,32,3,77,MANET
2,2.9,15,8,4,103,DTN
2,3.0,10,32,3,85,MANET
8,1.7,94,8,2,23,MANET
1,3.4,46,16,2,22,MANET
6,2.9,41,64,1,50,MANET
4,2.7,86,32,1,90,MANET
8,3.4,38,32,1,17,MANET
2,1.8,62,32,1,133,DTN
3,2.8,7,32,3,10,Bluetooth
1,2.7,78,32,1,51,MANET
6,1.1,35,16,2,117,DTN
8,2.5,43,32,1,20,MANET
2,2.6,30,64,1,72,MANET
3,1.2,81,64,1,130,DTN
3,3.0,84,64,1,15,MANET
1,1.9,17,8,4,128,DTN
4,2.1,68,4,2,99,MANET
8,1.1,48,64,1,45,MANET
2,2.4,91,8,2,26,MANET
6,2.0,46,4,2,67,MANET
4,2.3,47,64,1,51,MANET
1,3.4,19,16,4,33,MANET
6,2.6,92,64,1,49,MANET
6,1.9,84,64,1,3,Bluetooth
2,1.6,49,8,2,1,Bluetooth
1,1.4,37,64,1,90,MANET
8,2.9,80,16,2,73,MANET
8,1.6,42,8,2,55,MANET
3,1.6,57,32,1,54,MANET
3,3.5,52,8,2,77,MANET
1,2.8,100,16,2,14,MANET
4,2.4,53,4,2,105,DTN
4,2.4,58,16,2,94,MANET
8,2.1,42,4,2,59,MANET
8,1.4,29,4,2,41,MANET
4,1.5,69,16,2,56,MANET
4,2.0,95,16,2,13,MANET
8,1.1,64,64,1,148,DTN
3,3.2,6,32,3,123,DTN
8,1.1,12,16,4,37,MANET
1,2.0,62,64,1,138,DTN
3,1.6,10,8,4,148,DTN
3,2.0,59,8,2,12,MANET
1,3.3,13,16,4,132,DTN
3,3.3,12,16,4,82,MANET
8,2.5,8,16,4,111,DTN
2,1.1,89,64,1,22,MANET
4,1.2,37,4,2,21,MANET
1,2.6,68,4,2,28,MANET
8,1.3,93,32,1,53,MANET
8,2.2,49,8,2,11,MANET
8,3.0,53,16,2,91,MANET
6,1.3,51,64,1,71,MANET
8,3.1,6,4,4,135,DTN
8,2.6,8,16,4,29,MANET
8,1.2,98,16,2,59,MANET
4,1.2,36,16,2,93,MANET
6,1.9,35,4,2,19,MANET
4,2.8,35,4,2,108,DTN
6,1.1,85,64,1,11,MANET
3,2.1,46,32,1,130,DTN
3,1.6,8,64,3,54,MANET
4,1.1,61,32,1,51,MANET
8,3.2,68,64,1,118,DTN
4,2.7,97,8,2,123,DTN
3,1.2,56,8,2,19,MANET
8,1.6,84,4,2,100,MANET
2,2.5,47,8,2,111,DTN
2,1.8,24,8,2,67,MANET
4,2.3,17,16,4,93,MANET
8,2.0,49,16,2,14,MANET
1,3.3,89,32,1,95,MANET
1,3.4,96,64,1,85,MANET
6,2.6,28,64,1,127,DTN
1,3.4,38,16,2,32,MANET
3,3.2,20,8,4,47,MANET
6,1.5,37,32,1,112,DTN
4,2.0,75,16,2,39,MANET
8,3.1,45,64,1,19,MANET
1,2.8,94,4,2,128,DTN
1,2.3,12,8,4,44,MANET
4,2.7,39,64,1,94,MANET
3,3.0,10,64,3,139,DTN
6,2.0,51,8,2,122,DTN
3,2.8,97,4,2,21,MANET
1,1.8,91,16,2,96,MANET
1,1.9,50,64,1,85,MANET
4,2.0,79,8,2,62,MANET
3,1.4,29,64,1,42,MANET
1,1.9,87,32,1,111,DTN
2,2.6,51,16,2,6,Bluetooth
4,2.7,89,4,2,111,DTN
4,1.7,94,16,2,60,MANET
3,3.0,14,16,4,80,MANET
4,1.6,69,32,1,10,Bluetooth
1,3.0,79,64,1,20,MANET
2,1.4,13,4,4,142,DTN
4,1.2,16,32,3,138,DTN
3,2.7,95,8,2,93,MANET
6,3.1,6,4,4,69,MANET
6,1.2,90,16,2,3,Bluetooth
1,1.0,80,32,1,18,MANET
3,1.5,22,16,2,19,MANET
6,3.3,6,64,3,130,DTN
3,1.4,51,16,2,97,MANET
6,2.8,78,16,2,109,DTN
2,2.3,74,4,2,109,DTN
8,1.4,22,8,2,128,DTN
3,1.6,89,32,1,124,DTN
3,2.7,60,64,1,64,MANET
1,2.9,83,64,1,120,DTN
6,3.2,17,4,4,97,MANET
3,1.7,71,32,1,41,MANET
4,1.2,36,8,2,47,MANET
6,3.1,9,64,3,13,MANET
8,1.1,76,32,1,21,MANET
2,3.5,100,32,1,139,DTN
1,2.7,99,4,2,56,MANET
2,1.6,76,64,1,136,DTN
3,2.6,39,32,1,99,MANET
3,1.4,92,8,2,116,DTN
3,1.0,72,64,1,5,Bluetooth
2,2.4,86,32,1,84,MANET
1,2.0,20,4,4,126,DTN
3,2.0,28,8,2,20,MANET
6,1.2,38,16,2,13,MANET
2,1.6,8,4,4,108,DTN
1,3.1,75,32,1,26,MANET
1,1.2,87,32,1,96,MANET
8,2.0,29,16,2,6,Bluetooth
6,2.6,45,64,1,4,Bluetooth
2,2.0,85,32,1,27,MANET
3,2.3,35,32,1,122,DTN
8,2.8,49,8,2,143,DTN
6,2.0,75,16,2,114,DTN
3,1.4,85,32,1,40,MANET
8,3.0,19,4,4,41,MANET
8,1.3,21,64,1,6,Bluetooth
8,3.3,75,4,2,34,MANET
3,1.1,27,16,2,143,DTN
3,1.6,50,8,2,94,MANET
1,1.2,14,16,4,126,DTN
2,1.4,87,32,1,118,DTN
3,1.8,20,32,3,86,MANET
8,1.6,72,32,1,73,MANET
1,2.8,7,64,3,115,DTN
1,1.5,66,32,1,90,MANET
3,3.5,55,16,2,28,MANET
3,3.3,75,64,1,44,MANET
3,1.4,90,16,2,128,DTN
2,2.6,14,4,4,149,DTN
2,2.0,55,64,1,5,Bluetooth
4,1.8,62,4,2,109,DTN
8,3.1,20,32,3,103,DTN
3,2.3,69,32,1,26,MANET
8,1.4,17,4,4,19,MANET
2,2.2,52,16,2,13,MANET
3,1.6,35,32,1,147,DTN
2,1.6,72,4,2,40,MANET
6,2.9,90,32,1,56,MANET
6,1.8,93,32,1,118,DTN
3,2.6,23,32,1,80,MANET
8,1.4,69,64,1,125,DTN
2,3.1,85,8,2,101,DTN
2,2.5,46,32,1,65,MANET
3,1.9,71,4,2,5,Bluetooth
1,1.4,40,8,2,3,Bluetooth
8,2.6,50,4,2,135,DTN
3,2.7,98,8,2,38,MANET
3,3.1,70,64,1,97,MANET
2,2.1,66,8,2,117,DTN
8,1.8,64,8,2,40,MANET
1,1.0,54,4,2,121,DTN
4,1.5,11,32,3,102,DTN
4,3.3,10,4,4,125,DTN
4,1.9,35,4,2,109,DTN
2,2.3,21,8,2,5,Bluetooth
1,3.1,43,8,2,147,DTN
4,3.0,82,4,2,94,MANET
8,3.3,79,8,2,32,MANET
4,1.5,66,8,2,63,MANET
2,2.2,7,32,3,57,MANET
6,1.9,99,64,1,68,MANET
3,1.9,68,8,2,8,Bluetooth
1,2.6,57,4,2,117,DTN
1,3.5,67,16,2,12,MANET
4,3.1,19,8,4,21,MANET
6,1.8,17,4,4,86,MANET
4,1.3,9,8,4,48,MANET
3,2.4,51,32,1,106,DTN
6,2.4,42,32,1,109,DTN
3,1.5,65,8,2,13,MANET
8,2.5,31,64,1,30,MANET
3,1.1,26,4,2,134,DTN
4,2.9,80,8,2,140,DTN
6,2.2,61,4,2,86,MANET
8,2.5,42,64,1,74,MANET
3,2.6,15,32,3,5,Bluetooth
4,2.1,87,64,1,104,DTN
4,1.6,37,16,2,30,MANET
6,1.8,51,16,2,33,MANET
4,1.9,37,16,2,101,DTN
3,3.3,14,32,3,136,DTN
2,1.6,30,4,2,147,DTN
8,1.6,59,32,1,2,Bluetooth
8,3.4,60,32,1,82,MANET
8,2.2,5,64,3,77,MANET
2,1.4,38,32,1,45,MANET
6,3.3,78,8,2,29,MANET
2,2.9,81,32,1,138,DTN
1,1.1,11,8,4,80,MANET
3,3.0,72,32,1,74,MANET
6,2.4,36,32,1,40,MANET
1,1.6,51,16,2,12,MANET
2,2.0,89,32,1,97,MANET
3,2.0,66,8,2,116,DTN
4,3.4,32,4,2,65,MANET
3,3.2,35,32,1,36,MANET
1,2.3,60,8,2,64,MANET
2,3.5,53,16,2,54,MANET
1,1.0,63,64,1,40,MANET
8,2.7,44,4,2,125,DTN
6,1.4,50,4,2,92,MANET
3,3.3,30,8,2,21,MANET
3,2.3,16,32,3,64,MANET
4,2.5,80,4,2,97,MANET
3,2.8,85,8,2,15,MANET
4,1.7,47,4,2,77,MANET
2,3.4,87,64,1,132,DTN
8,1.1,91,64,1,19,MANET
1,3.0,46,8,2,119,DTN
6,1.9,88,4,2,20,MANET
3,1.5,20,16,4,144,DTN
4,3.1,12,4,4,35,MANET
2,2.7,52,64,1,114,DTN
2,3.0,23,32,1,80,MANET
6,3.1,98,4,2,1,Bluetooth
6,3.1,78,64,1,122,DTN
8,1.3,99,32,1,4,Bluetooth
8,3.4,17,16,4,23,MANET
1,1.6,59,64,1,89,MANET
1,2.8,20,8,4,45,MANET
1,2.8,28,64,1,19,MANET
3,2.7,31,16,2,83,MANET
2,1.7,22,4,2,113,DTN
4,2.0,98,8,2,8,Bluetooth
4,1.6,8,4,4,148,DTN
1,1.3,100,32,1,57,MANET
1,1.9,6,64,3,33,MANET
3,2.0,35,8,2,16,MANET
3,2.5,67,16,2,149,DTN
8,1.8,33,16,2,100,MANET
2,2.3,94,8,2,52,MANET
8,1.2,31,4,2,60,MANET
6,1.4,71,32,1,91,MANET
2,3.1,69,64,1,22,MANET
3,2.7,54,32,1,8,Bluetooth
4,3.2,84,8,2,28,MANET
6,3.2,42,8,2,149,DTN
2,1.2,71,8,2,109,DTN
2,1.6,32,8,2,120,DTN
3,2.0,81,16,2,71,MANET
3,1.9,47,32,1,113,DTN
1,1.3,5,8,4,43,MANET
3,1.4,15,16,4,37,MANET
1,2.5,22,32,1,128,DTN
2,1.5,28,32,1,142,DTN
1,2.0,21,16,2,103,DTN
6,1.5,99,64,1,32,MANET
1,1.7,32,16,2,57,MANET
4,2.1,33,32,1,103,DTN
6,3.5,89,4,2,56,MANET
8,1.3,21,64,1,58,MANET
8,1.9,74,8,2,104,DTN
1,2.1,6,4,4,43,MANET
1,3.3,10,32,3,24,MANET
8,2.9,69,16,2,85,MANET
2,1.8,38,8,2,14,MANET
3,1.5,21,64,1,73,MANET
2,1.6,81,8,2,46,MANET
1,2.5,39,16,2,42,MANET
2,2.1,83,8,2,102,DTN
1,1.3,46,32,1,121,DTN
8,3.3,37,64,1,15,MANET
8,1.3,30,8,2,75,MANET
8,1.0,57,4,2,94,MANET
1,1.6,5,8,4,128,DTN
8,3.2,67,8,2,18,MANET
4,1.8,76,64,1,112,DTN
6,3.4,86,4,2,112,DTN
8,2.8,5,64,3,27,MANET
1,1.4,5,4,4,85,MANET
2,2.6,76,64,1,124,DTN
3,2.3,100,8,2,43,MANET
6,2.5,81,32,1,3,Bluetooth
6,3.3,26,4,2,130,DTN
4,3.1,76,32,1,93,MANET
8,1.9,69,64,1,38,MANET
1,3.3,68,4,2,35,MANET
3,1.0,36,4,2,110,DTN
2,2.6,75,32,1,54,MANET
4,1.4,66,16,2,88,MANET
1,1.6,18,64,3,143,DTN
4,2.2,28,16,2,73,MANET
8,2.1,55,8,2,72,MANET
6,2.6,64,8,2,140,DTN
3,1.4,29,64,1,126,DTN
8,2.7,73,8,2,64,MANET
8,3.3,82,8,2,107,DTN
2,2.6,73,4,2,97,MANET
1,1.7,34,32,1,26,MANET
1,1.2,17,8,4,89,MANET
4,3.2,11,8,4,99,MANET
6,3.5,74,4,2,85,MANET
4,2.6,98,16,2,68,MANET
2,1.4,46,8,2,27,MANET
1,3.2,73,8,2,74,MANET
4,3.4,8,16,4,25,MANET
3,2.7,26,64,1,99,MANET
8,1.0,14,4,4,28,MANET
2,3.2,27,64,1,2,Bluetooth
2,3.2,23,16,2,24,MANET
1,3.5,70,8,2,52,MANET
6,2.9,31,16,2,59,MANET
1,3.1,52,64,1,87,MANET
4,3.0,36,4,2,64,MANET
2,1.9,43,16,2,86,MANET
1,3.2,99,4,2,78,MANET
6,3.0,73,32,1,125,DTN
8,3.5,10,32,3,83,MANET
1,1.6,75,16,2,92,MANET
3,1.6,41,8,2,3,Bluetooth
6,1.5,15,8,4,106,DTN
3,2.4,48,4,2,146,DTN
4,1.7,56,4,2,147,DTN
4,2.3,5,32,3,139,DTN
3,3.2,9,64,3,59,MANET
3,1.8,85,4,2,1,Bluetooth
3,1.3,52,64,1,75,MANET
3,2.2,41,32,1,77,MANET
8,2.9,86,64,1,51,MANET
4,1.6,84,16,2,32,MANET
6,1.8,22,4,2,32,MANET
8,1.2,22,8,2,93,MANET
6,3.4,21,8,2,148,DTN
8,3.0,37,64,1,36,MANET
2,2.1,7,4,4,7,Bluetooth
1,2.4,18,16,4,19,MANET
8,2.8,54,64,1,57,MANET
3,2.7,65,64,1,35,MANET
6,2.1,17,32,3,25,MANET
6,2.9,60,64,1,63,MANET
4,1.8,46,16,2,140,DTN
4,1.7,79,32,1,134,DTN
6,2.8,12,4,4,77,MANET
6,3.2,16,4,4,36,MANET
2,1.3,65,4,2,107,DTN
3,1.1,67,64,1,95,MANET
3,2.2,55,64,1,59,MANET
1,3.2,58,32,1,58,MANET
3,3.3,46,64,1,29,MANET
